feature_name,feature_group,source_tables,source_columns,transformation_logic,join_key,aggregation_level,availability_time,leakage_risk,production_controls,owner,used_in_model
AMT_ANNUITY,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_CREDIT,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_GOODS_PRICE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
AMT_INCOME_TOTAL,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
CNT_CHILDREN,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
CNT_FAM_MEMBERS,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_BIRTH,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_EMPLOYED,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_ID_PUBLISH,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_LAST_PHONE_CHANGE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DAYS_REGISTRATION,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DEF_30_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
DEF_60_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
EXT_SOURCE_1,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
EXT_SOURCE_2,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
EXT_SOURCE_3,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
HOUR_APPR_PROCESS_START,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
OBS_30_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
OBS_60_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
OWN_CAR_AGE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
REGION_POPULATION_RELATIVE,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
REGION_RATING_CLIENT,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
REGION_RATING_CLIENT_W_CITY,base_application_numeric,application_train.csv,Application-time numeric applicant and loan fields,Direct selected numeric fields from the base application table.,SK_ID_CURR,Applicant level,Known at loan application submission time.,low,"Validate schema, numeric ranges, missingness, and application timestamp; exclude identifiers and target from model inputs.",Data Science / Credit Risk,True
bureau_balance_late_status_count,bureau_balance_history,"bureau.csv, bureau_balance.csv","SK_ID_BUREAU, MONTHS_BALANCE, STATUS",Join bureau_balance to bureau through SK_ID_BUREAU and aggregate monthly status counts and late-status counts to SK_ID_CURR.,SK_ID_BUREAU -> SK_ID_CURR,Applicant level from historical bureau monthly status,Must include only monthly statuses visible before the current decision or collections scoring timestamp.,medium,"Filter MONTHS_BALANCE/status snapshots by observation cutoff, validate bureau linkage integrity, and monitor late-status distribution drift.",Data Science / Credit Risk,True
bureau_balance_month_count,bureau_balance_history,"bureau.csv, bureau_balance.csv","SK_ID_BUREAU, MONTHS_BALANCE, STATUS",Join bureau_balance to bureau through SK_ID_BUREAU and aggregate monthly status counts and late-status counts to SK_ID_CURR.,SK_ID_BUREAU -> SK_ID_CURR,Applicant level from historical bureau monthly status,Must include only monthly statuses visible before the current decision or collections scoring timestamp.,medium,"Filter MONTHS_BALANCE/status snapshots by observation cutoff, validate bureau linkage integrity, and monitor late-status distribution drift.",Data Science / Credit Risk,True
bureau_active_credit_count,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_closed_credit_count,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_credit_count,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_credit_day_overdue_max,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_credit_debt_sum,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_credit_debt_to_credit_ratio,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_credit_sum_mean,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_days_credit_mean,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
bureau_overdue_credit_count,bureau_credit_history,bureau.csv,"CREDIT_ACTIVE, CREDIT_DAY_OVERDUE, DAYS_CREDIT, AMT_CREDIT_SUM, AMT_CREDIT_SUM_DEBT","Aggregate external bureau tradeline counts, active/closed status, overdue counts, credit recency, credit amount, and debt burden to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical bureau records,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,"Apply source-record timestamp filters, validate bureau pull date, exclude post-application bureau updates, and monitor bureau-source refresh changes.",Data Science / Credit Risk,True
credit_card_avg_balance,credit_card_balance_history,credit_card_balance.csv,"AMT_BALANCE, AMT_DRAWINGS_CURRENT, SK_DPD_DEF","Aggregate credit-card monthly observation count, average/max balance, average drawings, and max DPD to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical credit card records,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter balance snapshots by observation cutoff, exclude post-decision behavior, and monitor balance/drawing/DPD distribution drift.",Data Science / Credit Risk,True
credit_card_avg_drawings,credit_card_balance_history,credit_card_balance.csv,"AMT_BALANCE, AMT_DRAWINGS_CURRENT, SK_DPD_DEF","Aggregate credit-card monthly observation count, average/max balance, average drawings, and max DPD to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical credit card records,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter balance snapshots by observation cutoff, exclude post-decision behavior, and monitor balance/drawing/DPD distribution drift.",Data Science / Credit Risk,True
credit_card_max_balance,credit_card_balance_history,credit_card_balance.csv,"AMT_BALANCE, AMT_DRAWINGS_CURRENT, SK_DPD_DEF","Aggregate credit-card monthly observation count, average/max balance, average drawings, and max DPD to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical credit card records,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter balance snapshots by observation cutoff, exclude post-decision behavior, and monitor balance/drawing/DPD distribution drift.",Data Science / Credit Risk,True
credit_card_max_dpd,credit_card_balance_history,credit_card_balance.csv,"AMT_BALANCE, AMT_DRAWINGS_CURRENT, SK_DPD_DEF","Aggregate credit-card monthly observation count, average/max balance, average drawings, and max DPD to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical credit card records,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter balance snapshots by observation cutoff, exclude post-decision behavior, and monitor balance/drawing/DPD distribution drift.",Data Science / Credit Risk,True
credit_card_month_count,credit_card_balance_history,credit_card_balance.csv,"AMT_BALANCE, AMT_DRAWINGS_CURRENT, SK_DPD_DEF","Aggregate credit-card monthly observation count, average/max balance, average drawings, and max DPD to SK_ID_CURR.",SK_ID_CURR,Applicant level from historical credit card records,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,"Filter balance snapshots by observation cutoff, exclude post-decision behavior, and monitor balance/drawing/DPD distribution drift.",Data Science / Credit Risk,True
age_years,derived_application_features,application_train.csv,"AMT_CREDIT, AMT_INCOME_TOTAL, AMT_ANNUITY, AMT_GOODS_PRICE, DAYS_BIRTH, DAYS_EMPLOYED, EXT_SOURCE_1/2/3, and source-column null flags","Creates affordability ratios, age/employment transformations, external score aggregate statistics, and application-row missingness count.",SK_ID_CURR,Applicant level,Known or derivable at loan application submission time.,low,"Freeze ratio definitions, handle zero denominators consistently, validate external-score source timing, and monitor null-rate drift.",Data Science / Credit Risk,True
annuity_to_credit_ratio,derived_application_features,application_train.csv,"AMT_CREDIT, AMT_INCOME_TOTAL, AMT_ANNUITY, AMT_GOODS_PRICE, DAYS_BIRTH, DAYS_EMPLOYED, EXT_SOURCE_1/2/3, and source-column null flags","Creates affordability ratios, age/employment transformations, external score aggregate statistics, and application-row missingness count.",SK_ID_CURR,Applicant level,Known or derivable at loan application submission time.,low,"Freeze ratio definitions, handle zero denominators consistently, validate external-score source timing, and monitor null-rate drift.",Data Science / Credit Risk,True
annuity_to_income_ratio,derived_application_features,application_train.csv,"AMT_CREDIT, AMT_INCOME_TOTAL, AMT_ANNUITY, AMT_GOODS_PRICE, DAYS_BIRTH, DAYS_EMPLOYED, EXT_SOURCE_1/2/3, and source-column null flags","Creates affordability ratios, age/employment transformations, external score aggregate statistics, and application-row missingness count.",SK_ID_CURR,Applicant level,Known or derivable at loan application submission time.,low,"Freeze ratio definitions, handle zero denominators consistently, validate external-score source timing, and monitor null-rate drift.",Data Science / Credit Risk,True
