feature_name,feature_group,source_tables,availability_time,leakage_risk,sensitivity_class,control_decision,rationale,production_control
AMT_ANNUITY,base_application_numeric,application_train.csv,Known at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
AMT_CREDIT,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
AMT_GOODS_PRICE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
AMT_INCOME_TOTAL,base_application_numeric,application_train.csv,Known at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
CNT_CHILDREN,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
CNT_FAM_MEMBERS,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_BIRTH,base_application_numeric,application_train.csv,Known at loan application submission time.,low,protected_or_policy_sensitive,restricted_pending_policy_approval,Age can be a protected or policy-sensitive attribute.,"Use only where legally permitted and policy-approved; monitor score, review-rate, and reason-code differences by age band."
DAYS_EMPLOYED,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_ID_PUBLISH,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_LAST_PHONE_CHANGE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DAYS_REGISTRATION,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
DEF_30_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
DEF_60_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
EXT_SOURCE_1,base_application_numeric,application_train.csv,Known at loan application submission time.,low,third_party_score,vendor_governance_required,External scores are strong predictors but need source transparency and stability checks.,"Require source documentation, refresh cadence, drift monitoring, and compliance review of upstream score construction."
EXT_SOURCE_2,base_application_numeric,application_train.csv,Known at loan application submission time.,low,third_party_score,vendor_governance_required,External scores are strong predictors but need source transparency and stability checks.,"Require source documentation, refresh cadence, drift monitoring, and compliance review of upstream score construction."
EXT_SOURCE_3,base_application_numeric,application_train.csv,Known at loan application submission time.,low,third_party_score,vendor_governance_required,External scores are strong predictors but need source transparency and stability checks.,"Require source documentation, refresh cadence, drift monitoring, and compliance review of upstream score construction."
HOUR_APPR_PROCESS_START,base_application_numeric,application_train.csv,Known at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
OBS_30_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
OBS_60_CNT_SOCIAL_CIRCLE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
OWN_CAR_AGE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,asset_or_wealth_proxy,allowed_with_monitoring,Vehicle age can be credit-relevant but may proxy wealth or socioeconomic status.,"Retain only with business justification; monitor distribution, missingness, and review impacts across protected/proxy segments."
REGION_POPULATION_RELATIVE,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
REGION_RATING_CLIENT,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
REGION_RATING_CLIENT_W_CITY,base_application_numeric,application_train.csv,Known at loan application submission time.,low,geographic_or_network_proxy,enhanced_review_required,Regional or social-network signals can encode neighborhood or network proxies.,"Require proxy-risk review, adverse-impact monitoring, and documented justification against less sensitive alternatives."
bureau_balance_late_status_count,bureau_balance_history,"bureau.csv, bureau_balance.csv",Must include only monthly statuses visible before the current decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_balance_month_count,bureau_balance_history,"bureau.csv, bureau_balance.csv",Must include only monthly statuses visible before the current decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_active_credit_count,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_closed_credit_count,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_credit_count,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_credit_day_overdue_max,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_credit_debt_sum,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_credit_debt_to_credit_ratio,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_credit_sum_mean,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_days_credit_mean,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
bureau_overdue_credit_count,bureau_credit_history,bureau.csv,Must be restricted to bureau records available before the current loan decision or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
credit_card_avg_balance,credit_card_balance_history,credit_card_balance.csv,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
credit_card_avg_drawings,credit_card_balance_history,credit_card_balance.csv,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
credit_card_max_balance,credit_card_balance_history,credit_card_balance.csv,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
credit_card_max_dpd,credit_card_balance_history,credit_card_balance.csv,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
credit_card_month_count,credit_card_balance_history,credit_card_balance.csv,Must include only credit-card snapshots known before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
age_years,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,protected_or_policy_sensitive,restricted_pending_policy_approval,Age can be a protected or policy-sensitive attribute.,"Use only where legally permitted and policy-approved; monitor score, review-rate, and reason-code differences by age band."
annuity_to_credit_ratio,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
annuity_to_income_ratio,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
credit_to_income_ratio,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
employment_years,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
external_score_mean,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,third_party_score,vendor_governance_required,External scores are strong predictors but need source transparency and stability checks.,"Require source documentation, refresh cadence, drift monitoring, and compliance review of upstream score construction."
external_score_std,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,third_party_score,vendor_governance_required,External scores are strong predictors but need source transparency and stability checks.,"Require source documentation, refresh cadence, drift monitoring, and compliance review of upstream score construction."
goods_price_to_credit_ratio,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
loan_to_income_ratio,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
missing_value_count,derived_application_features,application_train.csv,Known or derivable at loan application submission time.,low,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
CODE_GENDER_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,protected_or_high_proxy,restricted_pending_fair_lending_approval,Gender is directly sensitive or high-risk proxy information.,"Exclude or require formal fair-lending, policy, legal, and compliance approval before any underwriting or collections policy use."
FLAG_OWN_CAR_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
FLAG_OWN_REALTY_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
NAME_CONTRACT_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
NAME_EDUCATION_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,proxy_sensitive,fair_lending_review_required,Categorical socioeconomic or employment variables may proxy protected groups.,"Require documented business necessity, alternative-feature review, segment monitoring, and approval before production use."
NAME_FAMILY_STATUS_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,proxy_sensitive,fair_lending_review_required,Categorical socioeconomic or employment variables may proxy protected groups.,"Require documented business necessity, alternative-feature review, segment monitoring, and approval before production use."
NAME_HOUSING_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,proxy_sensitive,fair_lending_review_required,Categorical socioeconomic or employment variables may proxy protected groups.,"Require documented business necessity, alternative-feature review, segment monitoring, and approval before production use."
NAME_INCOME_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,credit_capacity_with_proxy_risk,allowed_with_monitoring,Affordability is credit-relevant but may create socioeconomic segmentation.,Retain with clear business justification; monitor distribution and approval/review impacts by protected and proxy segments.
NAME_TYPE_SUITE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,standard_credit_feature,allowed_with_standard_controls,No direct protected/proxy marker identified by the current governance screen.,"Apply schema, missingness, drift, and reason-code monitoring."
OCCUPATION_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,proxy_sensitive,fair_lending_review_required,Categorical socioeconomic or employment variables may proxy protected groups.,"Require documented business necessity, alternative-feature review, segment monitoring, and approval before production use."
ORGANIZATION_TYPE_idx,encoded_application_categorical,application_train.csv,Known at loan application submission time.,low_to_medium_proxy_risk,proxy_sensitive,fair_lending_review_required,Categorical socioeconomic or employment variables may proxy protected groups.,"Require documented business necessity, alternative-feature review, segment monitoring, and approval before production use."
installment_avg_payment_delay_days,installment_repayment_history,installments_payments.csv,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
installment_avg_payment_ratio,installment_repayment_history,installments_payments.csv,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
installment_late_payment_count,installment_repayment_history,installments_payments.csv,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
installment_max_payment_delay_days,installment_repayment_history,installments_payments.csv,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
installment_payment_count,installment_repayment_history,installments_payments.csv,Must include only installments from loans observed before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
pos_cash_avg_installments_future,pos_cash_balance_history,POS_CASH_balance.csv,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
pos_cash_late_count,pos_cash_balance_history,POS_CASH_balance.csv,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
pos_cash_max_dpd_def,pos_cash_balance_history,POS_CASH_balance.csv,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
pos_cash_month_count,pos_cash_balance_history,POS_CASH_balance.csv,Must include only POS balance snapshots before the current decision or collections scoring timestamp.,medium_high_timing_sensitive,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_application_count,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_application_mean,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_approved_count,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_credit_mean,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_days_decision_mean,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_down_payment_mean,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
previous_refused_count,previous_application_history,previous_application.csv,Must include only applications decided before the current application or collections scoring timestamp.,medium,historical_credit_behavior,allowed_with_timestamp_controls,Historical credit behavior is credit-relevant but timing-sensitive.,Enforce source-record cutoff timestamps and monitor segment-level availability/missingness before production use.
